"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 02 11:15:45 GMT 2025","Fri May 02 11:15:46 GMT 2025","1289","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Fri May 02 11:15:44 GMT 2025","Fri May 02 11:15:44 GMT 2025","0","tests.pytest","test_markers","","","","test_regression_case",""
"passed","Fri May 02 11:15:36 GMT 2025","Fri May 02 11:15:37 GMT 2025","1387","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Fri May 02 11:15:44 GMT 2025","Fri May 02 11:15:44 GMT 2025","0","tests.pytest","test_markers","TestUserInterface","","","test_forgot_password_link",""
"passed","Fri May 02 11:15:44 GMT 2025","Fri May 02 11:15:44 GMT 2025","0","tests.pytest","test_markers","TestsUserAuthentication","","","test_login",""
"passed","Fri May 02 11:15:44 GMT 2025","Fri May 02 11:15:44 GMT 2025","1","tests.pytest","test_markers","","","","test_critical_login",""
"passed","Fri May 02 11:15:44 GMT 2025","Fri May 02 11:15:44 GMT 2025","0","tests.pytest","test_markers","TestSuite","","","test_case1",""
"passed","Fri May 02 11:15:44 GMT 2025","Fri May 02 11:15:44 GMT 2025","0","tests.pytest","test_markers","TestsUserAuthentication","","","test_logout",""
"passed","Fri May 02 11:15:34 GMT 2025","Fri May 02 11:15:37 GMT 2025","2810","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Fri May 02 11:15:39 GMT 2025","Fri May 02 11:15:40 GMT 2025","1489","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Fri May 02 11:15:44 GMT 2025","Fri May 02 11:15:44 GMT 2025","0","tests.pytest","test_markers","TestsUserAuthentication","","","test_password_reset",""
"passed","Fri May 02 11:15:41 GMT 2025","Fri May 02 11:15:43 GMT 2025","2049","LMS system","Courses","Courses","","","Create course",""
"passed","Fri May 02 11:15:38 GMT 2025","Fri May 02 11:15:39 GMT 2025","1036","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Fri May 02 11:15:40 GMT 2025","Fri May 02 11:15:41 GMT 2025","1249","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Fri May 02 11:15:34 GMT 2025","Fri May 02 11:15:36 GMT 2025","1670","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Fri May 02 11:15:42 GMT 2025","Fri May 02 11:15:45 GMT 2025","2573","LMS system","Courses","Courses","","","test_edit_course[chromium]",""
"passed","Fri May 02 11:15:37 GMT 2025","Fri May 02 11:15:38 GMT 2025","1269","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
